lang	filename	speaker	gend	item	inform	itemdur	f0md	f0mn	f0sd	f0hzq05	f0hzq95	f0stq05	f0stq95	f0strange	intmd	intmn	intsd
Japanese	F_ppt_18_3_pol	JF18	female	I3	pol	2.9408843537414966	222.26989949913232	212.15415031473657	22.20011150416639	173.87641201971874	237.50671605566816	89.3029928473208	94.70189355577939	5.398900708458598	62.5490135926214	71.51778259468466	14.839052805639323
Japanese	F_ppt_18_4_cas	JF18	female	I4	inform	2.153015873015873	184.4817409026197	181.66804777138094	23.71896129395958	142.74964867789924	219.02299373193256	85.88812061689133	93.29926231530554	7.411141698414212	68.37534380409463	71.04990307894998	9.480358212753279
Japanese	F_ppt_18_4_pol	JF18	female	I4	pol	6.208707482993197	175.07668736287303	176.49287304543168	16.961339378481544	153.90043191417908	205.76365069740174	87.19024032415443	92.21810797656636	5.027867652411928	59.9183623956992	65.72278683565489	11.444170414025146
Japanese	F_ppt_18_5_cas	JF18	female	I5	inform	9.906984126984128	191.57868218772597	196.31144415503425	28.035614749078835	146.68129808538015	248.38682858032962	86.35826624061492	95.47733706839223	9.119070827777307	45.28118309021619	65.91021412100454	15.098938543160784
Japanese	F_ppt_18_5_pol	JF18	female	I5	pol	9.926757369614512	181.966946823209	187.61526528171788	24.50211517505114	156.02964030176594	224.42980644204283	87.42811229572598	93.72143001726586	6.293317721539879	59.624111821031356	69.02479393589552	14.235778982035107
Japanese	F_ppt_18_6_cas	JF18	female	I6	inform	1.5643537414965987	200.23421101188902	203.42053504206896	25.009256051829617	174.16916746504407	259.55546815504164	89.33214394649163	96.23767289566256	6.905528949170929	68.45506953032503	71.81273314858569	12.569064657833998
Japanese	F_ppt_18_6_pol	JF18	female	I6	pol	3.2663492063492066	190.32044757851273	193.54281935558677	19.020343733223797	171.31104657072459	233.56269107904632	89.04569246541423	94.41197769500546	5.366285229591227	69.46655518764129	72.4194487258172	10.421223328099735
Japanese	F_ppt_20_1_cas	JF20	female	I1	inform	9.447052154195012	263.0127926011665	267.2192712889288	46.64813461254218	208.20641866389894	354.07897023233784	92.42243140331027	101.61504763106703	9.192616227756758	69.56799564654244	74.79298505053937	15.256207890281303
Japanese	F_ppt_20_1_pol	JF20	female	I1	pol	14.554285714285715	268.4659136034237	266.98647082516095	35.470342604357626	215.59222203603107	327.3194405244354	93.02593538219992	100.25464519421861	7.228709812018693	61.19534081627877	70.01706671923097	14.866501966309695
Japanese	F_ppt_20_2_cas	JF20	female	I2	inform	2.8666666666666667	335.05294271080663	339.0225576855277	38.72600998052321	282.76380465159957	405.54815906197564	97.72140854859164	103.96470623861022	6.243297690018579	65.25687110732976	72.75914209913199	14.721564852363963
Japanese	F_ppt_20_2_pol	JF20	female	I2	pol	8.822040816326531	362.1463104740388	364.91406160696	34.20874227283329	303.86298672831447	419.09282436578957	98.96731454317478	104.53350984806363	5.566195304888851	62.18768140924104	67.52464283247879	11.501803661187225
Japanese	F_ppt_20_3_cas	JF20	female	I3	inform	1.6857369614512472	354.7434930426312	347.8792729923153	52.66901547920053	270.03959827874513	436.2892738741345	96.92431663046919	105.22935496442054	8.305038333951344	75.4727240414842	77.96109536476423	10.299391755592746
